incident_zip,potholes,percentage_Allocation
10000,26,0.02%
10001,419,0.29%
10002,693,0.48%
10003,635,0.44%
10004,258,0.18%
10005,151,0.10%
10006,135,0.09%
10007,216,0.15%
10009,323,0.22%
10010,299,0.21%
10011,446,0.31%
10012,332,0.23%
10013,584,0.41%
10014,368,0.26%
10016,686,0.48%
10017,392,0.27%
10018,333,0.23%
10019,711,0.49%
10020,34,0.02%
10021,270,0.19%
10022,755,0.52%
10023,452,0.31%
10024,423,0.29%
10025,592,0.41%
10026,191,0.13%
10027,555,0.39%
10028,381,0.26%
10029,521,0.36%
10030,117,0.08%
10031,318,0.22%
10032,363,0.25%
10033,465,0.32%
10034,404,0.28%
10035,377,0.26%
10036,455,0.32%
10037,78,0.05%
10038,225,0.16%
10039,111,0.08%
10040,213,0.15%
10041,5,0.00%
10044,11,0.01%
10065,500,0.35%
10069,24,0.02%
10075,231,0.16%
10103,2,0.00%
10105,3,0.00%
10106,1,0.00%
10110,14,0.01%
10115,1,0.00%
10118,6,0.00%
10119,4,0.00%
10120,5,0.00%
10121,3,0.00%
10122,1,0.00%
10123,1,0.00%
10128,441,0.31%
10151,1,0.00%
10153,2,0.00%
10154,4,0.00%
10162,3,0.00%
10165,5,0.00%
10167,2,0.00%
10168,2,0.00%
10169,7,0.00%
10170,1,0.00%
10171,3,0.00%
10172,13,0.01%
10173,5,0.00%
10176,3,0.00%
10177,5,0.00%
10178,1,0.00%
10271,4,0.00%
10278,27,0.02%
10279,2,0.00%
10280,23,0.02%
10282,45,0.03%
10301,1247,0.87%
10302,436,0.30%
10303,573,0.40%
10304,1118,0.78%
10305,1225,0.85%
10306,2802,1.95%
10307,335,0.23%
10308,987,0.69%
10309,1840,1.28%
10310,924,0.64%
10312,2384,1.66%
10314,2874,2.00%
10451,869,0.60%
10452,749,0.52%
10453,632,0.44%
10454,660,0.46%
10455,624,0.43%
10456,576,0.40%
10457,630,0.44%
10458,664,0.46%
10459,572,0.40%
10460,695,0.48%
10461,931,0.65%
10462,898,0.62%
10463,1225,0.85%
10464,428,0.30%
10465,1017,0.71%
10466,964,0.67%
10467,967,0.67%
10468,710,0.49%
10469,972,0.68%
10470,351,0.24%
10471,1201,0.83%
10472,536,0.37%
10473,629,0.44%
10474,422,0.29%
10475,506,0.35%
11001,53,0.04%
11004,262,0.18%
11005,19,0.01%
11040,45,0.03%
11101,2142,1.49%
11102,728,0.51%
11103,441,0.31%
11104,271,0.19%
11105,662,0.46%
11106,627,0.44%
11109,37,0.03%
11201,1036,0.72%
11203,834,0.58%
11204,614,0.43%
11205,631,0.44%
11206,840,0.58%
11207,1587,1.10%
11208,1592,1.11%
11209,1027,0.71%
11210,1228,0.85%
11211,1195,0.83%
11212,998,0.69%
11213,697,0.48%
11214,1023,0.71%
11215,1059,0.74%
11216,738,0.51%
11217,667,0.46%
11218,893,0.62%
11219,1035,0.72%
11220,1439,1.00%
11221,955,0.66%
11222,1096,0.76%
11223,1226,0.85%
11224,350,0.24%
11225,517,0.36%
11226,714,0.50%
11228,559,0.39%
11229,1153,0.80%
11230,721,0.50%
11231,804,0.56%
11232,1432,0.99%
11233,831,0.58%
11234,1661,1.15%
11235,992,0.69%
11236,1501,1.04%
11237,838,0.58%
11238,625,0.43%
11239,262,0.18%
11249,442,0.31%
11251,2,0.00%
11354,1219,0.85%
11355,961,0.67%
11356,818,0.57%
11357,1222,0.85%
11358,1275,0.89%
11359,4,0.00%
11360,276,0.19%
11361,1087,0.75%
11362,588,0.41%
11363,374,0.26%
11364,1016,0.71%
11365,979,0.68%
11366,585,0.41%
11367,1014,0.70%
11368,1067,0.74%
11369,413,0.29%
11370,569,0.40%
11372,641,0.45%
11373,1212,0.84%
11374,694,0.48%
11375,937,0.65%
11377,1387,0.96%
11378,1414,0.98%
11379,998,0.69%
11385,1960,1.36%
11411,700,0.49%
11412,737,0.51%
11413,1576,1.09%
11414,812,0.56%
11415,245,0.17%
11416,633,0.44%
11417,1048,0.73%
11418,1051,0.73%
11419,1129,0.78%
11420,1301,0.90%
11421,874,0.61%
11422,1407,0.98%
11423,668,0.46%
11426,437,0.30%
11427,877,0.61%
11428,561,0.39%
11429,932,0.65%
11430,59,0.04%
11432,1155,0.80%
11433,832,0.58%
11434,1599,1.11%
11435,681,0.47%
11436,326,0.23%
11691,1241,0.86%
11692,275,0.19%
11693,327,0.23%
11694,603,0.42%
11695,13,0.01%
11697,31,0.02%
